Unnamed: 0,autoencoder_group_path,autoencoder_path,reconstruction_file,trainer_class,sae_class,eval_sae_n_inputs,eval_results_n_inputs,board_reconstruction_n_inputs,l0,l1_loss,l2_loss,frac_alive,frac_variance_explained,cossim,l2_ratio,loss_original,loss_reconstructed,loss_zero,frac_recovered,num_alive_features,games_batch_to_state_stack_mine_yours_BLRRC_board_reconstruction_board_count,games_batch_to_state_stack_mine_yours_BLRRC_num_squares,games_batch_to_state_stack_mine_yours_BLRRC_best_idx,games_batch_to_state_stack_mine_yours_BLRRC_zero_L0,games_batch_to_state_stack_mine_yours_BLRRC_best_L0,games_batch_to_state_stack_mine_yours_BLRRC_zero_f1_score_per_class,games_batch_to_state_stack_mine_yours_BLRRC_best_f1_score_per_class,games_batch_to_state_stack_mine_yours_BLRRC_last_f1_score_per_class,games_batch_to_state_stack_mine_yours_BLRRC_zero_num_true_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_best_num_true_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_zero_num_false_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_best_num_false_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_zero_num_false_negative_squares,games_batch_to_state_stack_mine_yours_BLRRC_best_num_false_negative_squares,games_batch_to_state_stack_mine_yours_BLRRC_zero_multiple_classes,games_batch_to_state_stack_mine_yours_BLRRC_best_multiple_classes,games_batch_to_state_stack_mine_yours_BLRRC_zero_num_true_and_false_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_best_num_true_and_false_positive_squares,games_batch_to_state_stack_mine_yours_BLRRC_high_precision_counts_per_T,games_batch_to_state_stack_mine_yours_BLRRC_high_precision_and_recall_counts_per_T,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_board_reconstruction_board_count,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_num_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_idx,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_L0,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_L0,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_f1_score_per_class,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_f1_score_per_class,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_last_f1_score_per_class,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_num_true_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_num_true_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_num_false_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_num_false_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_num_false_negative_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_num_false_negative_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_multiple_classes,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_multiple_classes,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_zero_num_true_and_false_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_best_num_true_and_false_positive_squares,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_high_precision_counts_per_T,games_batch_to_state_stack_mine_yours_blank_mask_BLRRC_high_precision_and_recall_counts_per_T,games_batch_to_valid_moves_BLRRC_board_reconstruction_board_count,games_batch_to_valid_moves_BLRRC_num_squares,games_batch_to_valid_moves_BLRRC_best_idx,games_batch_to_valid_moves_BLRRC_zero_L0,games_batch_to_valid_moves_BLRRC_best_L0,games_batch_to_valid_moves_BLRRC_zero_f1_score_per_class,games_batch_to_valid_moves_BLRRC_best_f1_score_per_class,games_batch_to_valid_moves_BLRRC_last_f1_score_per_class,games_batch_to_valid_moves_BLRRC_zero_num_true_positive_squares,games_batch_to_valid_moves_BLRRC_best_num_true_positive_squares,games_batch_to_valid_moves_BLRRC_zero_num_false_positive_squares,games_batch_to_valid_moves_BLRRC_best_num_false_positive_squares,games_batch_to_valid_moves_BLRRC_zero_num_false_negative_squares,games_batch_to_valid_moves_BLRRC_best_num_false_negative_squares,games_batch_to_valid_moves_BLRRC_zero_multiple_classes,games_batch_to_valid_moves_BLRRC_best_multiple_classes,games_batch_to_valid_moves_BLRRC_zero_num_true_and_false_positive_squares,games_batch_to_valid_moves_BLRRC_best_num_true_and_false_positive_squares,games_batch_to_valid_moves_BLRRC_high_precision_counts_per_T,games_batch_to_valid_moves_BLRRC_high_precision_and_recall_counts_per_T
0,autoencoders/testing_othello/,autoencoders/testing_othello/my_sae_100k/,autoencoders/testing_othello/my_sae_100k/indexing_None_n_inputs_1000_reconstruction.pkl,PAnnealTrainer,AutoEncoder,1000,1000,1000,440.8800048828125,408.7347717285156,8.138272285461426,0.246337890625,0.8245224952697754,0.9430140256881714,1.0903568267822266,2.054067611694336,2.283261299133301,4.913147449493408,0.9198365807533264,8174,59000,3776000,3,501.4698486328125,93.02613067626952,0.2147806584835052,0.2778740227222442,0.4542571008205414,477780,641465,195224,199483,3298220,3134535,103,252,80,204,"tensor([10458, 28006, 43151, 52692, 57587, 61144, 63180, 64165, 64050, 62414,
        31748], device='cuda:0')","tensor([0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], device='cuda:0')",59000,2006000,4,501.4698486328125,55.134056091308594,0.0142376292496919,0.0232477225363254,0.0687946528196334,14439,23657,7848,5553,1991561,1982343,0,44,0,44,"tensor([ 461, 1081, 1617, 1953, 2142, 2378, 2588, 2813, 2855, 2753, 2487],
       device='cuda:0')","tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], device='cuda:0')",59000,506839,5,501.4698486328125,35.0397834777832,0.004613519180566,0.0918352529406547,0.149219274520874,1172,24433,61,833,505667,482406,0,0,0,0,"tensor([   3,    8,   24,   37,   54,   74,  149,  222,  373,  695, 1493],
       device='cuda:0')","tensor([0, 0, 0, 1, 1, 0, 0, 0, 1, 4, 1], device='cuda:0')"
1,autoencoders/testing_othello/,autoencoders/testing_othello/trainer0/,autoencoders/testing_othello/trainer0/indexing_None_n_inputs_1000_reconstruction.pkl,PAnnealTrainer,AutoEncoder,1000,1000,1000,83.63999938964844,133.33262634277344,4.98409366607666,0.2763671875,0.946812093257904,0.9742496013641356,0.9697121381759644,2.054067611694336,2.0545387268066406,4.913147449493408,0.999835193157196,3535,59000,3776000,2,80.26966094970703,52.59754180908203,0.8313059210777283,0.9376739859580994,0.9440488219261168,2780426,3404728,132871,81344,995574,371272,71114,58980,69841,58646,"tensor([26031, 28550, 29665, 30380, 30841, 31691, 32054, 31739, 28519, 20214,
         3330], device='cuda:0')","tensor([ 4, 31, 28, 20, 14,  8,  1,  0,  0,  0,  0], device='cuda:0')",59000,2006000,2,80.26966094970703,52.59754180908203,0.7414759993553162,0.945739448070526,0.9491737484931946,1217462,1830542,60426,34592,788538,175458,25471,18538,25418,18538,"tensor([3772, 4882, 5471, 5838, 6127, 6401, 6564, 6494, 5557, 3157,  352],
       device='cuda:0')","tensor([ 3, 31, 28, 20, 14,  8,  1,  0,  0,  0,  0], device='cuda:0')",59000,506839,2,80.26966094970703,52.59754180908203,0.4165602028369903,0.8074340224266052,0.895270824432373,134631,345784,4924,3878,372208,161055,0,0,0,0,"tensor([255, 483, 689, 835, 893, 951, 971, 987, 942, 814, 238],
       device='cuda:0')","tensor([ 42,  93, 109, 120, 104,  86,  82,  69,  59,  53,  18],
       device='cuda:0')"
